@relation 'train_clean-weka.filters.supervised.attribute.AttributeSelection-Eweka.attributeSelection.PrincipalComponents -R 0.95 -A 5-Sweka.attributeSelection.Ranker -T -1.7976931348623157E308 -N -1'

@attribute 0.047pixel_576+0.047pixel_516+0.047pixel_786+0.047pixel_544+0.046pixel_548... numeric
@attribute -0.05pixel_48-0.05pixel_16-0.05pixel_17-0.05pixel_18-0.05pixel_49... numeric
@attribute -0.09pixel_525-0.089pixel_526-0.088pixel_523-0.087pixel_524-0.086pixel_522... numeric
@attribute -0.083pixel_323-0.08pixel_291-0.077pixel_388-0.074pixel_259-0.074pixel_355... numeric
@attribute -0.114pixel_834-0.112pixel_802-0.108pixel_866+0.105pixel_230-0.105pixel_770... numeric
@attribute -0.105pixel_99-0.092pixel_935-0.09pixel_67-0.086pixel_131-0.086pixel_98... numeric
@attribute -0.142pixel_260-0.139pixel_228-0.137pixel_772-0.135pixel_292-0.13pixel_804... numeric
@attribute 0.122pixel_1023+0.111pixel_1022+0.109pixel_1020+0.108pixel_996+0.101pixel_1021... numeric
@attribute -0.131pixel_809-0.123pixel_840-0.119pixel_776-0.111pixel_777-0.11pixel_841... numeric
@attribute '0.106pixel_263+0.086pixel_411-0.085pixel_646+0.081pixel_443+0.08 pixel_314...' numeric
@attribute '-0.121pixel_231+0.11 pixel_808+0.105pixel_433-0.105pixel_806-0.101pixel_199...' numeric
@attribute 0.147pixel_401+0.115pixel_433+0.109pixel_498+0.102pixel_497+0.096pixel_530... numeric
@attribute -0.128pixel_166-0.121pixel_134-0.121pixel_71-0.113pixel_102-0.106pixel_198... numeric
@attribute -0.094pixel_629-0.092pixel_502-0.091pixel_604-0.089pixel_636-0.087pixel_791... numeric
@attribute -0.118pixel_520-0.111pixel_519-0.106pixel_552-0.104pixel_551+0.103pixel_1024... numeric
@attribute 0.121pixel_538+0.101pixel_872+0.101pixel_474+0.098pixel_506+0.097pixel_570... numeric
@attribute -0.124pixel_638-0.123pixel_670-0.103pixel_606-0.102pixel_702+0.099pixel_871... numeric
@attribute '-0.116pixel_426-0.112pixel_626+0.11 pixel_689-0.106pixel_427-0.104pixel_396...' numeric
@attribute -0.128pixel_403-0.119pixel_62-0.114pixel_281-0.11pixel_63-0.11pixel_29... numeric
@attribute 0.139pixel_433+0.121pixel_496+0.115pixel_464+0.107pixel_401+0.103pixel_659... numeric
@attribute -0.145pixel_1023-0.125pixel_1024-0.117pixel_990+0.114pixel_872-0.113pixel_992... numeric
@attribute -0.162pixel_295-0.13pixel_743-0.104pixel_297-0.103pixel_627-0.103pixel_872... numeric
@attribute 0.144pixel_403+0.126pixel_625+0.113pixel_690+0.105pixel_371-0.101pixel_337... numeric
@attribute 0.142pixel_409-0.126pixel_665-0.124pixel_697+0.119pixel_872-0.111pixel_464... numeric
@attribute -0.175pixel_337+0.114pixel_627-0.106pixel_338-0.104pixel_306+0.096pixel_563... numeric
@attribute '-0.12pixel_434+0.11 pixel_777-0.101pixel_338-0.1pixel_358-0.097pixel_729...' numeric
@attribute -0.136pixel_807-0.13pixel_1024-0.112pixel_457-0.102pixel_312+0.102pixel_391... numeric
@attribute -0.139pixel_560-0.128pixel_592+0.111pixel_690-0.109pixel_936-0.108pixel_378... numeric
@attribute '0.122pixel_402+0.12 pixel_312+0.118pixel_625+0.113pixel_370+0.111pixel_280...' numeric
@attribute 0.125pixel_401+0.119pixel_345-0.112pixel_625-0.101pixel_593+0.094pixel_594... numeric
@attribute '0.124pixel_648+0.123pixel_104+0.109pixel_556+0.101pixel_105+0.1  pixel_662...' numeric
@attribute -0.113pixel_625+0.107pixel_839-0.106pixel_166-0.1pixel_72-0.099pixel_690... numeric
@attribute class {1,2,3,4,5,6,7,8,9,10}

@data
{0 8.493588,1 -6.137217,2 -0.103885,3 0.708528,4 -1.412182,5 -0.581871,6 0.621257,7 0.027298,8 1.66891,9 -0.014797,10 -0.096174,11 1.986994,12 -0.236099,13 -0.132171,14 0.048947,15 0.863132,16 -0.676243,17 0.39681,18 -0.330421,19 -0.227566,20 0.225692,21 0.105101,22 -0.471087,23 0.177481,24 -0.149141,25 -0.716086,26 0.482274,27 0.725508,28 0.125592,29 -0.025814,30 0.320409,31 0.545412,32 9}
{0 8.10285,1 -3.807853,2 -2.791603,3 3.962527,4 1.600707,5 -0.451823,6 0.382687,7 0.217005,8 -0.027757,9 -0.311028,10 0.449382,11 1.386437,12 -0.822536,13 -0.238286,14 -1.692774,15 -1.377172,16 0.660388,17 -0.717253,18 0.147918,19 0.116682,20 -0.485694,21 0.541826,22 -0.62595,23 -0.280428,24 -0.639525,25 -0.094079,26 0.694027,27 0.395063,28 0.179376,29 -0.486045,30 -0.211016,31 0.439993,32 2}
{0 2.217197,1 -3.761741,2 -1.148054,3 2.562239,4 -1.02743,5 -2.786233,6 -0.0398,7 -0.808822,8 -0.469136,9 -0.395908,10 0.006578,11 0.296269,12 -0.607083,13 -0.44975,14 0.683928,15 -0.936523,16 0.537443,17 0.03172,18 -0.436842,19 0.122482,20 0.052911,21 -0.544101,22 0.400021,23 0.171804,24 0.1763,25 -0.012627,26 0.490914,27 0.124155,28 1.04587,29 -0.167236,30 0.160387,31 0.322148}
{0 0.585033,1 0.325304,2 0.223429,3 0.566452,4 -0.050009,5 -0.123215,6 -0.111187,7 0.529087,8 -0.311887,9 0.379039,10 -0.065276,11 0.483414,12 -0.024587,13 -0.094175,14 0.28552,15 0.123228,16 0.056881,17 0.356724,18 -0.220011,19 -0.054314,20 0.014662,21 0.027162,22 -0.2149,23 0.084351,24 -0.021831,25 0.054307,26 -0.149758,27 -0.210168,28 0.001177,29 -0.101922,30 0.083045,31 -0.310562,32 2}
{0 9.139009,1 -6.130778,2 1.529613,3 0.276859,4 -1.255898,5 -0.126914,6 -0.111815,7 -0.015159,8 1.017569,9 0.581308,10 -0.104353,11 0.585568,12 -0.102257,13 -1.075893,14 0.01735,15 0.515076,16 0.831891,17 0.265309,18 -0.254075,19 0.427207,20 -0.742748,21 0.527254,22 -0.062909,23 0.264227,24 -0.110233,25 0.08846,26 0.397729,27 -0.025477,28 0.90877,29 -0.071867,30 -0.346673,31 -0.056244,32 7}
{0 4.706473,1 4.782204,2 1.254051,3 3.550345,4 -1.524638,5 -1.459842,6 0.023617,7 1.150311,8 1.135974,9 0.202045,10 -0.105539,11 0.039632,12 -0.730077,13 -0.001876,14 0.432317,15 -0.55141,16 -0.300979,17 -0.205086,18 0.663618,19 0.592236,20 -0.205176,21 0.050302,22 -0.006845,23 -0.319759,24 -0.539445,25 -0.651097,26 -0.371052,27 0.392802,28 -0.056499,29 -0.180294,30 -0.149937,31 -0.289573,32 4}
{0 7.050112,1 -8.735544,2 -2.598773,3 4.564301,4 -1.263861,5 -3.013616,6 0.988368,7 1.253613,8 0.273999,9 -0.134508,10 0.769917,11 0.022775,12 -0.517812,13 -0.727002,14 -0.131607,15 0.176199,16 -0.326729,17 0.104675,18 -1.205156,19 -0.149605,20 0.379842,21 0.634053,22 0.910185,23 -0.091706,24 -0.060191,25 -0.375766,26 0.23169,27 -0.37847,28 -0.229886,29 0.300329,30 0.386598,31 0.527444,32 10}
{0 9.711855,1 -1.753473,2 -5.729145,3 1.301742,4 -0.89016,5 -0.290236,6 -0.188942,7 0.096593,8 2.571214,9 -1.158746,10 0.032134,11 2.505437,12 0.082478,13 0.378528,14 0.424945,15 -0.102009,16 -0.182788,17 0.336356,18 0.383669,19 0.264859,20 -0.885485,21 0.792523,22 0.287919,23 0.584647,24 -1.007635,25 0.097582,26 0.148723,27 -0.941353,28 0.12825,29 -0.056722,30 0.232797,31 -0.314634,32 9}
{0 7.399283,1 6.71119,2 1.450175,3 4.128845,4 -2.107049,5 -1.665781,6 1.294376,7 -0.327867,8 2.547332,9 0.140949,10 -0.348957,11 0.574059,12 -0.831017,13 1.064644,14 -0.531732,15 -1.419466,16 0.033733,17 -0.070521,18 -0.067597,19 0.356741,20 0.344861,21 0.591979,22 0.10671,23 -0.037421,24 0.240739,25 0.211194,26 1.247338,27 -0.187485,28 0.351289,29 0.220865,30 -0.102891,31 -0.196041,32 9}
{0 12.164514,1 -1.480866,2 -1.050275,3 0.699892,4 -2.127129,5 -1.266932,6 -1.588276,7 0.437492,8 1.181935,9 -0.579297,10 0.513539,11 0.088428,12 0.023716,13 -0.969811,14 0.343342,15 -0.86257,16 0.444715,17 0.121716,18 0.48326,19 -0.027202,20 0.587974,21 0.067842,22 -0.253946,23 0.217766,24 -0.405746,25 -0.215302,26 0.93296,27 0.228581,28 -0.164141,29 0.261853,30 0.381747,31 -0.278443,32 4}
{0 6.797095,1 -7.90101,2 -1.982445,3 2.25219,4 -0.652273,5 -1.632029,6 1.400736,7 1.514803,8 0.763007,9 0.123625,10 0.319925,11 1.320749,12 0.379232,13 -0.500914,14 -0.331324,15 -0.302009,16 0.186333,17 -0.33973,18 0.557233,19 0.734696,20 0.408702,21 -0.135319,22 -0.761199,23 -0.565948,24 -0.177322,25 -0.798102,26 -0.040525,27 0.002726,28 0.844904,29 1.213551,30 0.264519,31 -0.67725,32 8}
{0 16.241916,1 1.370821,2 -0.204356,3 3.246533,4 2.703644,5 -1.515447,6 -1.533682,7 -1.983495,8 1.475675,9 1.32392,10 0.206003,11 0.231617,12 0.494259,13 -0.506327,14 0.969363,15 0.128475,16 -0.220996,17 -0.796686,18 -0.21272,19 0.014802,20 -0.223667,21 0.037898,22 -0.028257,23 0.21368,24 -0.26013,25 0.057701,26 0.398534,27 0.177862,28 -0.347469,29 -0.096515,30 -0.520045,31 -0.278878,32 5}
